date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:00	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2005:57:02%20GMT	https://gointerstellar.app/assets/assets/media/icons/mc.webp	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/assets/media/icons/mc.webp	(from https://gointerstellar.app/assets/styles/home.css)
21:57:01	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2005:57:03%20GMT	https://gointerstellar.app/assets/assets/media/icons/youtube.png	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/assets/media/icons/youtube.png	(from https://gointerstellar.app/assets/styles/home.css)
21:57:01	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2005:57:03%20GMT	https://gointerstellar.app/assets/assets/media/icons/tiktok.png	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/assets/media/icons/tiktok.png	(from https://gointerstellar.app/assets/styles/home.css)
21:57:01	356/356	---MCZ	200	added ('OK')	text/css	etag:W/%22s5eko0c6%22	https://gointerstellar.app/assets/styles/theme/solid/default.css?v=1	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/styles/theme/solid/default3860.css	(from https://gointerstellar.app/events)
21:57:02	37814/37814	---MCZ	200	added ('OK')	text/javascript	etag:W/%22s5m3wm1282%22	https://gointerstellar.app/assets/scripts/g.js	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/scripts/g.js	(from https://gointerstellar.app/events)
21:57:02	6688/6688	---MCZ	200	added ('OK')	text/javascript	etag:W/%22s5kvku64s%22	https://gointerstellar.app/assets/scripts/global.js?v=1	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/scripts/global3860.js	(from https://gointerstellar.app/events)
21:57:02	8931/8931	---MCZ	200	added ('OK')	text/javascript	etag:W/%22s5m3wm97w%22	https://gointerstellar.app/assets/scripts/apps.js?v=1	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/scripts/apps3860.js	(from https://gointerstellar.app/news)
21:57:02	2728/2728	---MCZ	200	added ('OK')	text/css	etag:W/%22s5eko02lg%22	https://gointerstellar.app/assets/styles/tab.css	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/styles/tab.css	(from https://gointerstellar.app/local-news)
21:57:03	989/989	---MCZ	200	added ('OK')	text/css	etag:W/%22s5eko0zy%22	https://gointerstellar.app/assets/styles/tabinner.css	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/styles/tabinner.css	(from https://gointerstellar.app/local-news)
21:57:03	9358/9358	---MCZ	200	added ('OK')	text/javascript	etag:W/%22s5mqyg77y%22	https://gointerstellar.app/assets/scripts/tabs.js	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/scripts/tabs.js	(from https://gointerstellar.app/local-news)
21:57:03	268/268	---MCZ	200	added ('OK')	text/javascript	etag:W/%22s5eko083%22	https://gointerstellar.app/sw.js	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/sw.js	(from https://gointerstellar.app/local-news)
21:57:03	2128/2128	---MCZ	200	added ('OK')	text/css	etag:W/%22s5eko027y%22	https://gointerstellar.app/assets/styles/settings.css	C:/Users/toastymicmuffins/Documents/website/shanthosh/gointerstellar.app/assets/styles/settings.css	(from https://gointerstellar.app/diagnostic)
